OPO 7  { pos: [ 40,147] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 37,109] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 73] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,123] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 27,130] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 25,137] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,147] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 38,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 12,124] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 28,130] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 74] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 25,136] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 38,147] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 38,110] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,125] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 29,130] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 75] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 25,135] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 38,111] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 37,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,125] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 30,130] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 76] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 24,135] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 37,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 36,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,124] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 30,129] | dir: LEFT  | fi: 0 }
USER   { pos: [ 12, 77] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 23,135] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 36,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 35,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,123] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 30,128] | dir: LEFT  | fi: 0 }
USER   { pos: [ 12, 78] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 23,136] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 35,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 34,147] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 30,127] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 13,122] | dir: LEFT  | fi: 0 }
USER   { pos: [ 12, 79] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 24,136] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 34,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 33,147] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 30,126] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 14,122] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 80] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 33,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 32,147] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 30,125] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 15,122] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 81] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 32,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 31,147] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 30,124] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 15,123] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 82] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 30,123] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 31,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 30,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 15,124] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 83] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 31,112] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 30,122] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 29,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 15,125] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 84] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 31,113] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 28,147] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 30,121] | dir: LEFT  | fi: 0 }
USER   { pos: [ 11, 84] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 14,125] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 32,113] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 27,147] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 29,121] | dir: UP    | fi: 0 }
USER   { pos: [ 10, 84] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 14,124] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 28,121] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 32,114] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 27,148] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 14,123] | dir: LEFT  | fi: 0 }
USER   { pos: [  9, 84] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 28,122] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 32,115] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 27,149] | dir: RIGHT | fi: 0 }
USER   { pos: [  8, 84] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 28,123] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 27,150] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 32,116] | dir: RIGHT | fi: 0 }
USER   { pos: [  8, 85] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 28,124] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 32,117] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 27,151] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 28,125] | dir: RIGHT | fi: 0 }
USER   { pos: [  8, 86] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 28,151] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 32,118] | dir: RIGHT | fi: 0 }
USER   { pos: [  8, 87] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 29,125] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 29,151] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 31,118] | dir: UP    | fi: 0 }
USER   { pos: [  8, 88] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 29,124] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 30,151] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 31,119] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 29,123] | dir: LEFT  | fi: 0 }
USER   { pos: [  8, 89] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 31,120] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 30,152] | dir: RIGHT | fi: 0 }
USER   { pos: [  8, 90] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 29,122] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 31,121] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 31,152] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 91] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 32,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 32,152] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 92] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 32,153] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 33,121] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 93] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 31,153] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 34,121] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 94] | dir: RIGHT | fi: 0 }
